Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Summary
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 A
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,49917,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 > 2600:1901:0:92a9:::https A
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 A / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,49917,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 > 2600:1901:0:92a9:::https A
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,49917,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 > 2600:1901:0:92a9:::https A
2025-03-30 23:01:20,N/A,N/A,N/A,49917,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 > 2600:1901:0:92a9:::https PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,49917,Ether / IPv6 / TCP 2600:1901:0:92a9:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:49917 A
2025-03-30 23:01:20,192.168.29.186,192.168.29.255,17,137,137,Ether / IP / UDP / NBNSHeader / NBNSQueryRequest who has '\\HTTPS'
2025-03-30 23:01:20,N/A,N/A,N/A,50074,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 > 2600:1901:0:c47c:::https PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 A
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,50074,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 > 2600:1901:0:c47c:::https A
2025-03-30 23:01:20,N/A,N/A,N/A,50074,443,Ether / IPv6 / TCP 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 > 2600:1901:0:c47c:::https PA / Raw
2025-03-30 23:01:20,N/A,N/A,N/A,443,50074,Ether / IPv6 / TCP 2600:1901:0:c47c:::https > 2405:201:2a:b12f:4dd9:366b:88f8:3e87:50074 A
2025-03-30 23:01:20,192.168.29.31,192.168.29.255,17,45643,5775,Ether / IP / UDP 192.168.29.31:45643 > 192.168.29.255:5775 / Raw
